track name,artist name,album name,album artist name,album release date,track number,track duration (ms),Feature,Explicit,Popularity,Added By
It's Plenty,Burna Boy,"Love, Damini",Burna Boy,2022-07-07,9,216991,FALSE,TRUE,76,eunice
TEMPORARY HIGHS,Snoh Aalegra,TEMPORARY HIGHS IN THE VIOLET SKIES,Snoh Aalegra,2021-07-09,8,80066,FALSE,FALSE,37,eunice
Last Last,Burna Boy,"Love, Damini",Burna Boy,2022-07-07,7,172342,FALSE,FALSE,84,jas
Lovers Rock,TV Girl,French Exit,TV Girl,2014-06-05,9,213920,FALSE,FALSE,90,eunice
All I Have,Amerie,All I Have,Amerie,2002-07-30,11,248573,FALSE,FALSE,37,jas
Need You Tonight,Amerie,All I Have,Amerie,2002-07-30,5,229560,FALSE,FALSE,31,jas
ca$h $hit,Gunna,a Gift & a Curse,Gunna,2023-06-16,5,131493,FALSE,TRUE,78,jas
Dirt,Key Glock,Glockoma 2,Key Glock,2023-02-24,1,199293,FALSE,TRUE,67,jas
Peach,Kevin Abstract,ARIZONA BABY,Kevin Abstract,2019-04-25,8,176732,FALSE,TRUE,70,eunice
Phone Numbers,"Dominic Fike, Kenny Beats",Phone Numbers,"Dominic Fike, Kenny Beats",2019-07-04,1,146826,TRUE,TRUE,76,eunice
They Don't Know,Jon B.,COOL RELAX,Jon B.,1997-04-21,4,274666,FALSE,FALSE,66,jas
4 Leaf Clover (feat. Steve Lacy),"Ravyn Lenae, Steve Lacy",Crush EP,Ravyn Lenae,2018-02-09,5,220100,TRUE,TRUE,52,eunice
Spike Lee,Key Glock,PRE5L,Key Glock,2022-11-17,3,167893,FALSE,TRUE,66,jas
Die Trying,Key Glock,PRE5L,Key Glock,2022-11-17,4,153106,FALSE,TRUE,71,jas
Rose In Harlem,Teyana Taylor,K.T.S.E.,Teyana Taylor,2018-06-23,6,222828,FALSE,TRUE,58,eunice
Gonna Love Me,Teyana Taylor,K.T.S.E.,Teyana Taylor,2018-06-23,2,166997,FALSE,FALSE,74,eunice
